cid,cname,cemail,cstate,ccountry
1,ibm,admin@ibm.com,new york,united states
2,tata consultancy services,admin@tcs.com,maharashtra,india
3,accenture,admin@accenture.com,dublin,ireland
4,us army,admin@goarmy.com,virginia,united states
5,ey,admin@ey.com,greater london,united kingdom
6,hewlett-packard,admin@hpe.com,california,united states
7,cognizant technology solutions,admin@cognizant.com,new jersey,united states
8,walmart,admin@walmartcareers.com,wisconsin,united states
9,microsoft,admin@microsoft.com,washington,united states
10,at&t,admin@att.com,texas,united states
11,united states air force,admin@airforce.com,texas,united states
12,pwc,admin@pwc.com,new york,united states
13,wells fargo,admin@wellsfargo.com,california,united states
14,infosys,admin@infosys.com,karnataka,india
15,deloitte,admin@deloitte.com,new york,united states
16,citi,admin@citigroup.com,new york,united states
17,bank of america,admin@bankofamerica.com,north carolina,united states
18,jpmorgan chase & co.,admin@jpmorganchase.com,new york,united states
19,us navy,admin@navy.com,district of columbia,united states
20,amazon,admin@amazon.com,washington,united states
21,apple,admin@apple.com,california,united states
22,siemens,admin@siemens.com,bavaria,germany
23,oracle,admin@oracle.com,california,united states
24,nokia,admin@nokia.com,uusimaa,finland
25,education nationale,admin@education.gouv.fr,île-de-france,france
26,capgemini,admin@capgemini.com,aquitaine,france
27,wipro technologies,admin@wipro.com,karnataka,india
28,hsbc,admin@hsbc.com,greater london,united kingdom
29,google,admin@google.com,california,united states
30,united states postal service,admin@usps.com,district of columbia,united states
31,mcdonald's corporation,admin@aboutmcdonalds.com,illinois,united states
32,ericsson,admin@ericsson.com,stockholm,sweden
33,boeing,admin@boeing.com,illinois,united states
34,vodafone,admin@vodafone.com,west berkshire,united kingdom
35,kaiser permanente,admin@kaiserpermanente.org,california,united states
36,ford motor company,admin@ford.com,michigan,united states
37,intel corporation,admin@intel.com,california,united states
38,department of veterans affairs,admin@va.gov,district of columbia,united states
39,cisco,admin@cisco.com,california,united states
40,general motors,admin@gm.com,michigan,united states
41,pepsico,admin@pepsico.com,new york,united states
42,target,admin@target.com,minnesota,united states
43,shell,admin@shell.com,zuid-holland,netherlands
44,hcl technologies,admin@hcltech.com,uttar pradesh,india
45,ups,admin@ups.com,georgia,united states
46,pfizer,admin@pfizer.com,new york,united states
47,unilever,admin@unilever.com,greater london,united kingdom
