jobid,jobtitle,company,salary,education
1,Engineering Manager,oracle,Undergraduate
2,Human Resource Manager,pwc,Undergraduate
3,Human Resource Manager,education nationale,Undergraduate
4,Analyst-Product Development,walgreens,PhD
5,SDE-2,ibm,Masters
6,Web Developer,united states air force,PhD
7,Algorithmic Coder,united states postal service,HighSchool
8,Frontend Developer,vodafone,PhD
9,SDE-1,wipro technologies,Masters
10,Algorithmic Coder,deutsche bank,Undergraduate
11,SDE-2,walmart,Masters
12,SDE-1,shell,Masters
13,Algorithmic Coder,education nationale,HighSchool
14,Web Developer,td,Undergraduate
15,Engineering Manager,ford motor company,Masters
16,Hardware Engineer,google,HighSchool
17,Web Developer,tencent,Undergraduate
18,Database Administrator,adp,PhD
19,Hardware Engineer,linkedin,Masters
20,SDE-1,dell,Masters
21,Algorithmic Coder,abbott,HighSchool
22,Database Administrator,kpmg,PhD
23,Analyst-Product Development,bp,PhD
24,Human Resource Manager,l'oréal,HighSchool
25,Database Administrator,microsoft,Masters
26,Hardware Engineer,united states air force,PhD
27,SDE-2,siemens,Masters
28,SDE-2,verizon,Masters
29,Analyst-Product Development,orange,HighSchool
30,Analyst-Product Development,wells fargo,Undergraduate
31,SDE-2,starbucks,HighSchool
32,SDE-2,cisco,PhD
33,SDE-1,morgan stanley,Undergraduate
34,Engineering Manager,ey,PhD
35,Database Administrator,ericsson,HighSchool
36,SDE-3,roche,HighSchool
37,Web Developer,apple,Masters
38,Web Developer,linkedin,Masters
39,Frontend Developer,philips,Undergraduate
40,SDE-1,dell,HighSchool
41,Human Resource Manager,gsk,PhD
42,Human Resource Manager,american express,Masters
43,Engineering Manager,barclays,PhD
44,Hardware Engineer,ibm,HighSchool
45,Hardware Engineer,bank of america,PhD
46,Engineering Manager,shell,Undergraduate
47,SDE-3,honeywell,HighSchool
48,SDE-1,education nationale,Undergraduate
49,Algorithmic Coder,"lowe's companies,PhD
50,SDE-1,philips,Masters
51,Engineering Manager,capgemini,Undergraduate
52,Hardware Engineer,ubs,HighSchool
53,SDE-1,cognizant technology solutions,HighSchool
54,Hardware Engineer,l'oréal,HighSchool
55,Frontend Developer,tencent,Masters
56,SDE-2,microsoft,PhD
57,Frontend Developer,citi,HighSchool
58,SDE-2,tencent,Masters
59,SDE-1,accenture,PhD
60,Human Resource Manager,vodafone,Masters
61,Human Resource Manager,education nationale,Masters
62,Web Developer,vodafone,HighSchool
63,Analyst-Product Development,orange,Undergraduate
64,Frontend Developer,lockheed martin,HighSchool
65,Analyst-Product Development,us army,Undergraduate
66,Frontend Developer,vodafone,PhD
67,SDE-2,at&t,Masters
68,SDE-2,procter & gamble,Masters
69,SDE-1,bp,PhD
70,Engineering Manager,honeywell,Masters
71,Human Resource Manager,novartis,Masters
72,Analyst-Product Development,amazon,Masters
73,Human Resource Manager,wipro technologies,HighSchool
74,SDE-3,sanofi,Undergraduate
75,Analyst-Product Development,l'oréal,Undergraduate
76,Algorithmic Coder,linkedin,PhD
77,Database Administrator,pfizer,HighSchool
78,SDE-3,nestlé,PhD
79,Human Resource Manager,pepsico,PhD
80,Hardware Engineer,northrop grumman corporation,HighSchool
81,SDE-3,capgemini,Undergraduate
82,Database Administrator,bp,HighSchool
83,Engineering Manager,philips,Undergraduate
84,Analyst-Product Development,united states marine corps,Masters
85,SDE-1,education nationale,PhD
86,SDE-3,schneider electric,PhD
87,Database Administrator,ibm,Masters
88,Engineering Manager,department of veterans affairs,Undergraduate
89,Hardware Engineer,state farm,HighSchool
90,SDE-1,medtronic,Masters
91,Algorithmic Coder,barclays,PhD
92,SDE-2,tencent,HighSchool
93,Hardware Engineer,shell,HighSchool
94,Frontend Developer,dhl,Undergraduate
95,Engineering Manager,ericsson,HighSchool
96,Engineering Manager,verizon,HighSchool
97,Human Resource Manager,nestlé,Masters
98,Hardware Engineer,ubs,Undergraduate
99,Algorithmic Coder,starbucks,HighSchool
100,Database Administrator,chevron,HighSchool
101,Web Developer,chevron,PhD
102,SDE-3,td,PhD
103,SDE-1,j.p. morgan,PhD
104,SDE-2,unilever,HighSchool
105,Algorithmic Coder,honeywell,Masters
106,SDE-2,bank of america,Masters
107,SDE-2,roche,PhD
108,SDE-3,unilever,Undergraduate
109,Database Administrator,mcdonald's corporation,HighSchool
110,Frontend Developer,schlumberger,Undergraduate
111,Web Developer,nestlé,Undergraduate
112,Frontend Developer,linkedin,PhD
113,SDE-3,bp,HighSchool
114,SDE-3,ericsson,PhD
115,SDE-3,microsoft,Masters
116,Algorithmic Coder,facebook,Undergraduate
117,Engineering Manager,the home depot,Masters
118,Engineering Manager,tech mahindra,PhD
119,Frontend Developer,united states postal service,PhD
120,Web Developer,apple,Undergraduate
121,Frontend Developer,mcdonald's corporation,Undergraduate
122,SDE-1,ubs,Undergraduate
123,Database Administrator,ge,HighSchool
124,Human Resource Manager,tencent,PhD
125,Hardware Engineer,hsbc,PhD
126,Human Resource Manager,tata consultancy services,HighSchool
127,Human Resource Manager,"lowe's companies,HighSchool
128,Database Administrator,hewlett-packard,PhD
129,Hardware Engineer,ey,Masters
130,Engineering Manager,ibm,Masters
131,Engineering Manager,amazon,HighSchool
132,Human Resource Manager,gsk,PhD
133,Web Developer,medtronic,PhD
134,SDE-3,gsk,Undergraduate
135,SDE-3,northrop grumman corporation,Undergraduate
136,Database Administrator,pwc,Undergraduate
137,SDE-1,the home depot,PhD
138,SDE-3,chevron,HighSchool
139,Hardware Engineer,unitedhealth group,Undergraduate
140,SDE-3,pwc,PhD
141,Hardware Engineer,j.p. morgan,Undergraduate
142,SDE-3,bank of america,Undergraduate
143,Human Resource Manager,honeywell,PhD
144,Web Developer,siemens,HighSchool
145,SDE-1,pepsico,Undergraduate
146,Algorithmic Coder,us navy,HighSchool
147,Human Resource Manager,barclays,Undergraduate
148,SDE-2,wells fargo,PhD
149,SDE-3,dhl,PhD
150,Engineering Manager,abbott,Masters
151,Database Administrator,medtronic,Masters
152,Web Developer,department of veterans affairs,Undergraduate
153,Engineering Manager,starbucks,PhD
154,Human Resource Manager,td,HighSchool
155,Hardware Engineer,medtronic,Masters
156,SDE-3,johnson & johnson,HighSchool
157,SDE-1,verizon wireless,PhD
158,Engineering Manager,us navy,PhD
159,Hardware Engineer,infosys,HighSchool
160,Frontend Developer,jpmorgan chase & co.,Undergraduate
161,SDE-1,state farm,HighSchool
162,Engineering Manager,procter & gamble,Undergraduate
163,Hardware Engineer,microsoft,PhD
164,Web Developer,bp,HighSchool
165,SDE-2,pfizer,PhD
166,SDE-3,shell,Undergraduate
167,Algorithmic Coder,nestlé,Undergraduate
168,SDE-3,novartis,PhD
169,SDE-3,j.p. morgan,Masters
170,SDE-3,jpmorgan chase & co.,Masters
171,Database Administrator,pepsico,HighSchool
172,SDE-1,pepsico,Masters
173,Algorithmic Coder,medtronic,Masters
174,Database Administrator,medtronic,PhD
175,Web Developer,state farm,Masters
176,Web Developer,abb,Undergraduate
177,Human Resource Manager,vodafone,Masters
178,Human Resource Manager,nokia,HighSchool
179,SDE-1,ge,HighSchool
180,Engineering Manager,adp,PhD
181,Human Resource Manager,sanofi,Undergraduate
182,Human Resource Manager,the home depot,PhD
183,SDE-3,facebook,Masters
184,Algorithmic Coder,dell emc,HighSchool
185,Human Resource Manager,accenture,Masters
186,Frontend Developer,northrop grumman corporation,PhD
187,Database Administrator,tencent,Undergraduate
188,Frontend Developer,medtronic,PhD
189,SDE-2,lockheed martin,HighSchool
190,Engineering Manager,bnp paribas,Masters
191,Engineering Manager,philips,Undergraduate
192,SDE-3,united states marine corps,HighSchool
193,Human Resource Manager,wells fargo,PhD
194,Database Administrator,microsoft,PhD
195,Database Administrator,intel corporation,HighSchool
196,SDE-3,novartis,Undergraduate
197,Hardware Engineer,orange,Masters
198,SDE-3,at&t,HighSchool
199,Hardware Engineer,amazon,PhD
200,Web Developer,kaiser permanente,Undergraduate
201,Human Resource Manager,chevron,Undergraduate
202,Database Administrator,pepsico,Undergraduate
203,Analyst-Product Development,microsoft,Masters
204,SDE-1,lockheed martin,Masters
205,SDE-3,chevron,Masters
206,Engineering Manager,accenture,Masters
207,Engineering Manager,deloitte,Undergraduate
208,SDE-1,intel corporation,Masters
209,Engineering Manager,huawei technologies,HighSchool
210,SDE-1,"lowe's companies,PhD
211,Engineering Manager,tencent,Undergraduate
212,SDE-3,abb,Masters
213,SDE-3,orange,PhD
214,Human Resource Manager,us army,HighSchool
215,Hardware Engineer,chevron,Undergraduate
216,SDE-2,tata consultancy services,PhD
217,Human Resource Manager,bp,PhD
218,Web Developer,ubs,Undergraduate
219,Hardware Engineer,ey,Masters
220,Database Administrator,united states air force,Masters
221,SDE-3,united states marine corps,Masters
222,Hardware Engineer,oracle,PhD
223,SDE-2,department of veterans affairs,PhD
224,SDE-1,hcl technologies,HighSchool
225,Frontend Developer,starbucks,PhD
226,Web Developer,ford motor company,Undergraduate
227,Hardware Engineer,microsoft,PhD
228,SDE-3,kaiser permanente,PhD
229,SDE-2,ey,Undergraduate
230,SDE-1,oracle,Undergraduate
231,Analyst-Product Development,the home depot,Masters
232,Frontend Developer,citi,HighSchool
233,SDE-2,barclays,Masters
234,Frontend Developer,ford motor company,PhD
235,Hardware Engineer,capgemini,PhD
236,Web Developer,ibm,Masters
237,Engineering Manager,united states postal service,PhD
238,Algorithmic Coder,dell emc,HighSchool
239,Algorithmic Coder,walmart,PhD
240,Human Resource Manager,verizon,HighSchool
241,Database Administrator,pwc,Masters
242,Algorithmic Coder,pfizer,Masters
243,Frontend Developer,tech mahindra,HighSchool
244,Hardware Engineer,johnson & johnson,PhD
245,Algorithmic Coder,orange,Undergraduate
246,Frontend Developer,pepsico,HighSchool
247,Algorithmic Coder,bp,HighSchool
248,Hardware Engineer,shell,HighSchool
249,Database Administrator,deutsche bank,Undergraduate
250,Analyst-Product Development,tata consultancy services,PhD
251,Engineering Manager,microsoft,HighSchool
252,Database Administrator,oracle,PhD
253,SDE-1,ups,HighSchool
254,SDE-3,ericsson,Masters
255,Hardware Engineer,barclays,HighSchool
256,SDE-3,hsbc,HighSchool
257,Analyst-Product Development,pwc,Undergraduate
258,Database Administrator,united states air force,PhD
259,Analyst-Product Development,tencent,Masters
260,Algorithmic Coder,novartis,Masters
261,SDE-3,state farm,Masters
262,SDE-2,american express,Masters
263,Human Resource Manager,novartis,PhD
264,Engineering Manager,us navy,Masters
265,SDE-1,walgreens,Undergraduate
266,Web Developer,ubs,Undergraduate
267,Web Developer,gsk,Masters
268,Hardware Engineer,sanofi,PhD
269,Engineering Manager,ericsson,Undergraduate
270,SDE-3,northrop grumman corporation,HighSchool
271,Analyst-Product Development,walmart,HighSchool
272,Algorithmic Coder,ford motor company,Undergraduate
273,Database Administrator,united states postal service,PhD
274,Analyst-Product Development,schlumberger,HighSchool
275,Algorithmic Coder,dhl,Undergraduate
276,SDE-1,cisco,HighSchool
277,Frontend Developer,the home depot,PhD
278,SDE-3,deloitte,Masters
279,Hardware Engineer,johnson & johnson,Undergraduate
280,Database Administrator,wipro technologies,HighSchool
281,Algorithmic Coder,procter & gamble,Masters
282,Hardware Engineer,apple,HighSchool
283,Algorithmic Coder,tencent,Undergraduate
284,SDE-3,barclays,HighSchool
285,SDE-3,capgemini,Masters
286,Analyst-Product Development,lockheed martin,PhD
287,SDE-3,ibm,Masters
288,Engineering Manager,gsk,HighSchool
289,Analyst-Product Development,infosys,PhD
290,Frontend Developer,kpmg,HighSchool
291,SDE-2,at&t,HighSchool
292,SDE-1,boeing,PhD
293,Database Administrator,cognizant technology solutions,HighSchool
294,Engineering Manager,tata consultancy services,HighSchool
295,SDE-3,kaiser permanente,Masters
296,Frontend Developer,chevron,Masters
297,SDE-1,tata consultancy services,Undergraduate
298,Frontend Developer,orange,PhD
299,Human Resource Manager,united states postal service,HighSchool
300,Human Resource Manager,american express,Undergraduate
301,Database Administrator,siemens,Masters
302,Human Resource Manager,accenture,HighSchool
303,Analyst-Product Development,google,Masters
304,SDE-2,cognizant technology solutions,Undergraduate
305,Web Developer,northrop grumman corporation,HighSchool
306,SDE-2,american express,Undergraduate
307,SDE-3,"lowe's companies,Undergraduate
308,Web Developer,wipro technologies,Masters
309,Web Developer,walgreens,PhD
310,Human Resource Manager,intel corporation,Undergraduate
311,Engineering Manager,jpmorgan chase & co.,HighSchool
312,Analyst-Product Development,schlumberger,Undergraduate
313,Frontend Developer,walmart,Masters
314,Algorithmic Coder,wells fargo,HighSchool
315,Engineering Manager,dell,PhD
316,SDE-1,philips,Masters
317,Algorithmic Coder,wells fargo,PhD
318,Hardware Engineer,schlumberger,PhD
319,Web Developer,walmart,Undergraduate
320,Engineering Manager,wipro technologies,PhD
321,SDE-2,department of veterans affairs,Masters
322,SDE-1,us navy,HighSchool
323,Database Administrator,ibm,Undergraduate
324,Engineering Manager,honeywell,Masters
